estado,municipio,secciones_electorales
Aguascalientes,Aguascalientes,I;II
Aguascalientes,Asientos,I
Aguascalientes,Calvillo,I
Aguascalientes,Cosío,I
Aguascalientes,El Llano,I
Aguascalientes,Jesús María,I
Aguascalientes,Pabellón de Arteaga,I
Aguascalientes,Rincón de Romos,I
Aguascalientes,San Francisco de los Romo,I
Aguascalientes,San José de Gracia,I
Aguascalientes,Tepezalá,I
Baja California,Ensenada,III;VII
Baja California,Mexicali,I;II;VII
Baja California,Playas de Rosarito,VIII
Baja California,Tecate,VIII
Baja California,Tijuana,"IV; V, VI, VIII"
Baja California Sur,Comondú,I
Baja California Sur,La Paz,I;II
Baja California Sur,Loreto,I
Baja California Sur,Los Cabos,II
Baja California Sur,Mulegé,I
Campeche,Calakmul,I;II
Campeche,Calkiní,I
Campeche,Campeche,I
Campeche,Candelaria,II
Campeche,Carmen,II
Campeche,Champotón,II
Campeche,Escárcega,II
Campeche,Hecelchakán,I
Campeche,Hopelchén,I
Campeche,Palizada,II
Campeche,Tenabo,I
Chiapas,Acacoyagua,VII
Chiapas,Acala,VI
Chiapas,Acapetahua,VII
Chiapas,Aldama,II
Chiapas,Altamirano,III
Chiapas,Amatán,IV
Chiapas,Amatenango de la Frontera,XI
Chiapas,Amatenango del Valle,V
Chiapas,Angel Albino Corzo,X
Chiapas,Arriaga,VII
Chiapas,Bejucal de Ocampo,XI
Chiapas,Bella Vista,VIII
Chiapas,Benemérito de las Américas,III
Chiapas,Berriozábal,IV
Chiapas,Bochil,II
Chiapas,Cacahoatán,XI
Chiapas,Catazajá,I
Chiapas,Chalchihuitán,II
Chiapas,Chamula,V
Chiapas,Chanal,III
Chiapas,Chapultenango,II
Chiapas,Chenalhó,II
Chiapas,Chiapa de Corzo,VI
Chiapas,Chiapilla,VI
Chiapas,Chicoasén,
Chiapas,Chicomuselo,VIII
Chiapas,Chilón,I
Chiapas,Cintalapa,X
Chiapas,Coapilla,IV
Chiapas,Comitán de Domínguez,VIII
Chiapas,Copainalá,IV
Chiapas,El Bosque,II
Chiapas,El Porvenir,XI
Chiapas,Escuintla,VII
Chiapas,Francisco León,II
Chiapas,Frontera Comalapa,VIII
Chiapas,Frontera Hidalgo,XII
Chiapas,Huehuetán,XI
Chiapas,Huitiupán,II
Chiapas,Huixtán,V
Chiapas,Huixtla,XI
Chiapas,Ixhuatán,II
Chiapas,Ixtacomitán,IV
Chiapas,Ixtapa,VI
Chiapas,Ixtapangajoya,IV
Chiapas,Jiquipilas,X
Chiapas,Jitotol,II
Chiapas,Juárez,IV
Chiapas,La Concordia,X
Chiapas,La Grandeza,XI
Chiapas,La Independencia,VIII
Chiapas,La Libertad,I
Chiapas,La Trinitaria,VIII
Chiapas,Larráinzar,II
Chiapas,Las Margaritas,III
Chiapas,Las Rosas,VI
Chiapas,Mapastepec,VII
Chiapas,Maravilla Tenejapa,III
Chiapas,Marqués de Comillas,III
Chiapas,Mazapa de Madero,XI
Chiapas,Mazatán,XI
Chiapas,Metapa,XII
Chiapas,Mitontic,V
Chiapas,Montecristo de Guerrero,X
Chiapas,Motozintla,XI
Chiapas,Nicolás Ruíz,VI
Chiapas,Ocosingo,III
Chiapas,Ocotepec,II
Chiapas,Ocozocoautla de Espinosa,IV
Chiapas,Ostuacán,IV
Chiapas,Osumacinta,VI
Chiapas,Oxchuc,III
Chiapas,Palenque,I
Chiapas,Pantelhó,II
Chiapas,Pantepec,II
Chiapas,Pichucalco,IV
Chiapas,Pijijiapan,VII
Chiapas,Pueblo Nuevo Solistahuacán,II
Chiapas,Rayón,II
Chiapas,Reforma,IV
Chiapas,Sabanilla,I
Chiapas,Salto de Agua,I
Chiapas,San Andrés Duraznal,II
Chiapas,San Cristóbal de las Casas,V
Chiapas,San Fernando,IV
Chiapas,San Juan Cancuc,II
Chiapas,San Lucas,VI
Chiapas,Santiago el Pinar,II
Chiapas,Siltepec,XI
Chiapas,Simojovel,II
Chiapas,Sitalá,II
Chiapas,Socoltenango,VIII
Chiapas,Solosuchiapa,IV
Chiapas,Soyaló,VI
Chiapas,Suchiapa,VI
Chiapas,Suchiate,XII
Chiapas,Sunuapa,IV
Chiapas,Tapachula,XI;XII
Chiapas,Tapalapa,II
Chiapas,Tapilula,II
Chiapas,Tecpatán,IV
Chiapas,Tenejapa,V
Chiapas,Teopisca,V
Chiapas,Tila,I
Chiapas,Tonalá,VII
Chiapas,Totolapa,VI
Chiapas,Tumbalá,I
Chiapas,Tuxtla Chico,XII
Chiapas,Tuxtla Gutiérrez,VI;IX
Chiapas,Tuzantán,XI
Chiapas,Tzimol,VIII
Chiapas,Unión Juárez,XI
Chiapas,Venustiano Carranza,VI
Chiapas,Villa Comaltitlán,VIII
Chiapas,Villa Corzo,X
Chiapas,Villaflores,X
Chiapas,Yajalón,I
Chiapas,Zinacantán,V
Chihuahua,Ahumada,I
Chihuahua,Aldama,V
Chihuahua,Allende,V
