estado,municipio,secciones_electorales
Aguascalientes,Aguascalientes,1;2
Aguascalientes,Asientos,1
Aguascalientes,Calvillo,1
Aguascalientes,Cosío,1
Aguascalientes,El Llano,1
Aguascalientes,Jesús María,1
Aguascalientes,Pabellón de Arteaga,1
Aguascalientes,Rincón de Romos,1
Aguascalientes,San Francisco de los Romo,1
Aguascalientes,San José de Gracia,1
Aguascalientes,Tepezalá,1
Baja California,Ensenada,3;7
Baja California,Mexicali,1;2;7
Baja California,Playas de Rosarito,8
Baja California,Tecate,8
Baja California,Tijuana,"4; 5, 6, 8"
Baja California Sur,Comondú,1
Baja California Sur,La Paz,1;2
Baja California Sur,Loreto,1
Baja California Sur,Los Cabos,2
Baja California Sur,Mulegé,1
Campeche,Calakmul,1;2
Campeche,Calkiní,1
Campeche,Campeche,1
Campeche,Candelaria,2
Campeche,Carmen,2
Campeche,Champotón,2
Campeche,Escárcega,2
Campeche,Hecelchakán,1
Campeche,Hopelchén,1
Campeche,Palizada,2
Campeche,Tenabo,1
Chiapas,Acacoyagua,7
Chiapas,Acala,6
Chiapas,Acapetahua,7
Chiapas,Aldama,2
Chiapas,Altamirano,3
Chiapas,Amatán,4
Chiapas,Amatenango de la Frontera,11
Chiapas,Amatenango del Valle,5
Chiapas,Angel Albino Corzo,10
Chiapas,Arriaga,7
Chiapas,Bejucal de Ocampo,11
Chiapas,Bella Vista,8
Chiapas,Benemérito de las Américas,3
Chiapas,Berriozábal,4
Chiapas,Bochil,2
Chiapas,Cacahoatán,11
Chiapas,Catazajá,1
Chiapas,Chalchihuitán,2
Chiapas,Chamula,5
Chiapas,Chanal,3
Chiapas,Chapultenango,2
Chiapas,Chenalhó,2
Chiapas,Chiapa de Corzo,6
Chiapas,Chiapilla,6
Chiapas,Chicoasén,6
Chiapas,Chicomuselo,8
Chiapas,Chilón,1
Chiapas,Cintalapa,10
Chiapas,Coapilla,4
Chiapas,Comitán de Domínguez,8
Chiapas,Copainalá,4
Chiapas,El Bosque,2
Chiapas,El Porvenir,11
Chiapas,Escuintla,7
Chiapas,Francisco León,2
Chiapas,Frontera Comalapa,8
Chiapas,Frontera Hidalgo,12
Chiapas,Huehuetán,11
Chiapas,Huitiupán,2
Chiapas,Huixtán,5
Chiapas,Huixtla,11
Chiapas,Ixhuatán,2
Chiapas,Ixtacomitán,4
Chiapas,Ixtapa,6
Chiapas,Ixtapangajoya,4
Chiapas,Jiquipilas,10
Chiapas,Jitotol,2
Chiapas,Juárez,4
Chiapas,La Concordia,10
Chiapas,La Grandeza,11
Chiapas,La Independencia,8
Chiapas,La Libertad,1
Chiapas,La Trinitaria,8
Chiapas,Larráinzar,2
Chiapas,Las Margaritas,3
Chiapas,Las Rosas,6
Chiapas,Mapastepec,7
Chiapas,Maravilla Tenejapa,3
Chiapas,Marqués de Comillas,3
Chiapas,Mazapa de Madero,11
Chiapas,Mazatán,11
Chiapas,Metapa,12
Chiapas,Mitontic,5
Chiapas,Montecristo de Guerrero,10
Chiapas,Motozintla,11
Chiapas,Nicolás Ruíz,6
Chiapas,Ocosingo,3
Chiapas,Ocotepec,2
Chiapas,Ocozocoautla de Espinosa,4
Chiapas,Ostuacán,4
Chiapas,Osumacinta,6
Chiapas,Oxchuc,3
Chiapas,Palenque,1
Chiapas,Pantelhó,2
Chiapas,Pantepec,2
Chiapas,Pichucalco,4
Chiapas,Pijijiapan,7
Chiapas,Pueblo Nuevo Solistahuacán,2
Chiapas,Rayón,2
Chiapas,Reforma,4
Chiapas,Sabanilla,1
Chiapas,Salto de Agua,1
Chiapas,San Andrés Duraznal,2
Chiapas,San Cristóbal de las Casas,5
Chiapas,San Fernando,4
Chiapas,San Juan Cancuc,2
Chiapas,San Lucas,6
Chiapas,Santiago el Pinar,2
Chiapas,Siltepec,11
Chiapas,Simojovel,2
Chiapas,Sitalá,2
Chiapas,Socoltenango,8
Chiapas,Solosuchiapa,4
Chiapas,Soyaló,6
Chiapas,Suchiapa,6
Chiapas,Suchiate,12
Chiapas,Sunuapa,4
Chiapas,Tapachula,11;12
Chiapas,Tapalapa,2
Chiapas,Tapilula,2
Chiapas,Tecpatán,4
Chiapas,Tenejapa,5
Chiapas,Teopisca,5
Chiapas,Tila,1
Chiapas,Tonalá,7
Chiapas,Totolapa,6
Chiapas,Tumbalá,1
Chiapas,Tuxtla Chico,12
Chiapas,Tuxtla Gutiérrez,6;9
Chiapas,Tuzantán,11
Chiapas,Tzimol,8
Chiapas,Unión Juárez,11
Chiapas,Venustiano Carranza,6
Chiapas,Villa Comaltitlán,8
Chiapas,Villa Corzo,10
Chiapas,Villaflores,10
Chiapas,Yajalón,1
Chiapas,Zinacantán,5
Chihuahua,Ahumada,1
Chihuahua,Aldama,5
Chihuahua,Allende,5
Chihuahua,Aquiles Serdán,5
Chihuahua,Ascensión,1
Chihuahua,Bachíniva,7
Chihuahua,Balleza,9
Chihuahua,Batopilas,9
Chihuahua,Bocoyna,9
Chihuahua,Buenaventura,7
Chihuahua,Camargo,5
Chihuahua,Carichí,9
Chihuahua,Casas Grandes,7
Chihuahua,Chihuahua,"5; 6, 8"
Chihuahua,Chínipas,9
Chihuahua,Coronado,5
Chihuahua,Coyame del Sotol,5
Chihuahua,Cuauhtémoc,7
Chihuahua,Cusihuiriachi,9
Chihuahua,Delicias,5
Chihuahua,Dr. Belisario Domínguez,9
Chihuahua,El Tule,9
Chihuahua,Galeana,7
Chihuahua,Gómez Farías,7
Chihuahua,Gran Morelos,9
Chihuahua,Guachochi,9
Chihuahua,Guadalupe,1
Chihuahua,Guadalupe y Calvo,9
Chihuahua,Guazapares,9
Chihuahua,Guerrero,7
Chihuahua,Hidalgo del Parral,9
Chihuahua,Huejotitán,9
Chihuahua,Ignacio Zaragoza,7
Chihuahua,Janos,1
Chihuahua,Jiménez,5
Chihuahua,Juárez,1;2;3;4
Chihuahua,Julimes,5
Chihuahua,La Cruz,5
Chihuahua,López,5
Chihuahua,Madera,7
Chihuahua,Maguarichi,9
Chihuahua,Manuel Benavides,5
Chihuahua,Matachí,7
Chihuahua,Matamoros,9
Chihuahua,Meoqui,5
Chihuahua,Morelos,9
Chihuahua,Moris,7
Chihuahua,Namiquipa,7
Chihuahua,Nonoava,9
Chihuahua,Nuevo Casas Grandes,7
Chihuahua,Ocampo,7
Chihuahua,Ojinaga,5
Chihuahua,Praxedis G. Guerrero,1
Chihuahua,Riva Palacio,7
Chihuahua,Rosales,5
Chihuahua,Rosario,9
Chihuahua,San Francisco de Borja,9
Chihuahua,San Francisco de Conchos,5
Chihuahua,San Francisco del Oro,9
Chihuahua,Santa Bárbara,9
Chihuahua,Santa Isabel,9
Chihuahua,Satevó,9
Chihuahua,Saucillo,5
Chihuahua,Temósachic,7
Chihuahua,Urique,9
Chihuahua,Uruachi,9
Chihuahua,Valle de Zaragoza,9
Coahuila de Zaragoza,Abasolo,3
Coahuila de Zaragoza,Acuña,1
Coahuila de Zaragoza,Allende,1
Coahuila de Zaragoza,Arteaga,3
Coahuila de Zaragoza,Candela,3
Coahuila de Zaragoza,Castaños,3
Coahuila de Zaragoza,Cuatro Ciénegas,2
